所属大类	专栏名	名称	价格	下载量	星级	评论数	收藏数	点赞数	图片信息	图片id	作者	上线时间	版本
主题	精选banner_我的朋友圈只对你开放_	想和你私奔到月球	400	2022	4.5	2	0	0	https://downloadt.vivo.com.cn/theme/package/v3/2020/06/20200618164339251/preview/preview_lockscreen_0_THUMB_3_0.webp		Desity	2020-06-18	3.0.1
主题	精选banner_我的朋友圈只对你开放_	我的女孩最可爱	300	1461	5.0	0	0	0	https://themetxdl.vivo.com.cn/theme/package/v3/2020/07/20200718103415635/preview/preview_lockscreen_0_THUMB_3_0.webp		bokemo	2020-07-18	3.0.1
主题	精选banner_我的朋友圈只对你开放_	我的男孩最可爱	300	2336	2.0	1	0	0	https://themetxdl.vivo.com.cn/theme/package/v3/2020/07/20200718104245424/preview/preview_lockscreen_0_THUMB_3_0.webp		bokemo	2020-07-18	3.0.1
主题	精选banner_我的朋友圈只对你开放_	可可爱爱的我们	300	1414	5.0	0	0	0	https://themetxdl.vivo.com.cn/theme/package/v3/2020/06/20200619154843210/preview/preview_lockscreen_0_THUMB_3_0.webp		bokemo	2020-06-19	3.0.1
主题	精选banner_我的朋友圈只对你开放_	音效可爱兔朋友圈	400	1027	3.5	2	0	0	https://themetxdl.vivo.com.cn/theme/package/v3/2020/08/20200815192734047/preview/preview_lockscreen_0_THUMB_3_0.webp		可爱熊	2020-08-15	3.0.1
主题	精选banner_我的朋友圈只对你开放_	萌系小宇宙 自定义	400	2031	5.0	5	0	0	https://themetxdl.vivo.com.cn/theme/package/v3/2020/06/20200624141128229/preview/preview_lockscreen_0_THUMB_3_0.webp		萌星球	2020-06-24	3.0.1
主题	精选banner_我的朋友圈只对你开放_	兔兔小宇宙	400	406	5.0	0	0	0	https://downloadt.vivo.com.cn/theme/package/v3/2020/08/20200805190002059/preview/preview_lockscreen_0_THUMB_3_0.webp		无敌萌主	2020-08-05	3.0.1
主题	精选banner_我的朋友圈只对你开放_	治愈系朋友圈	400	668	5.0	0	0	0	https://themetxdl.vivo.com.cn/theme/package/v3/2020/08/20200812101051016/preview/preview_lockscreen_0_THUMB_3_0.webp		萌星球	2020-08-12	3.0.1
主题	精选banner_我的朋友圈只对你开放_	小可爱的草莓宇宙	400	10875	4.6	10	0	0	https://themetxdl.vivo.com.cn/theme/package/v3/2020/06/20200619104055342/preview/preview_lockscreen_0_THUMB_3_0.webp		Desity	2020-06-19	3.0.1
主题	精选banner_我的朋友圈只对你开放_	超萌宇宙空间站	400	5158	4.3	6	0	0	https://downloadt.vivo.com.cn/theme/package/v3/2020/06/20200616214028322/preview/preview_lockscreen_0_THUMB_3_0.webp		可爱熊	2020-06-16	3.0.1
主题	精选banner_我的朋友圈只对你开放_	你是温柔的行星	400	1175	5.0	2	0	0	https://downloadt.vivo.com.cn/theme/package/v3/2020/06/20200622160603851/preview/preview_lockscreen_0_THUMB_3_0.webp		小歪歪	2020-06-22	3.0.1
主题	精选banner_我的朋友圈只对你开放_	宇宙造梦机	300	2530	4.6	5	0	0	https://downloadt.vivo.com.cn/theme/package/v3/2020/06/20200620090640685/preview/preview_lockscreen_0_THUMB_3_0.webp		糯米圆子	2020-06-19	3.0.1
主题	精选banner_我的朋友圈只对你开放_	动态 飞向太空	400	2766	4.9	7	0	0	https://themetxdl.vivo.com.cn/theme/package/v3/2020/06/20200628144602410/preview/preview_lockscreen_0_THUMB_3_0.webp		好奇猫	2020-06-28	3.0.1
主题	精选banner_我的朋友圈只对你开放_	小星熊的快乐一天	400	1102	5.0	1	0	0	https://themetxdl.vivo.com.cn/theme/package/v3/2020/06/20200628174128156/preview/preview_lockscreen_0_THUMB_3_0.webp		可爱熊	2020-06-28	3.0.1
主题	精选banner_我的朋友圈只对你开放_	你又来看我朋友圈了	400	202	5.0	0	0	0	https://downloadt.vivo.com.cn/theme/package/v3/2020/06/20200614153015922/preview/preview_lockscreen_0_THUMB_3_0.webp		无敌萌主	2020-06-14	3.0.1
主题	精选banner_我的朋友圈只对你开放_	黑白简约不知好歹	400	5394	5.0	3	0	0	https://themetxdl.vivo.com.cn/theme/package/v3/2019/08/20190812161119341/preview/preview_lockscreen_0_THUMB_3_0.webp		萌星球	2019-08-12	3.0.1
主题	精选banner_我的朋友圈只对你开放_	朋友圈里你的变化	400	338	5.0	0	0	0	https://downloadt.vivo.com.cn/theme/package/v3/2019/12/20191230085716232/preview/preview_lockscreen_0_THUMB_3_0.webp		为则科技	2019-12-30	3.0.1
主题	精选banner_我的朋友圈只对你开放_	情侣锁屏不负过往	400	440	5.0	1	0	0	https://themetxdl.vivo.com.cn/theme/package/v3/2020/07/20200715151522512/preview/preview_lockscreen_0_THUMB_3_0.webp		可爱熊	2020-07-15	3.0.1
主题	精选banner_我的朋友圈只对你开放_	情侣锁屏不畏将来	400	1641	5.0	0	0	0	https://downloadt.vivo.com.cn/theme/package/v3/2020/07/20200702205802751/preview/preview_lockscreen_0_THUMB_3_0.webp		可爱熊	2020-07-02	3.0.1
主题	精选banner_我的朋友圈只对你开放_	松鼠朋友圈	400	173	5.0	0	0	0	https://themetxdl.vivo.com.cn/theme/package/v3/2020/07/20200716160700297/preview/preview_lockscreen_0_THUMB_3_0.webp		黑马设计	2020-07-16	3.0.1
主题	精选banner_我的朋友圈只对你开放_	熊兔朋友圈	400	686	1.0	1	0	0	https://themetxdl.vivo.com.cn/theme/package/v3/2020/07/20200715083543603/preview/preview_lockscreen_0_THUMB_3_0.webp		MIC	2020-07-15	3.0.1
主题	精选banner_我的朋友圈只对你开放_	你的朋友圈小动态	400	642	5.0	0	0	0	https://themetxdl.vivo.com.cn/theme/package/v3/2020/07/20200717095533542/preview/preview_lockscreen_0_THUMB_3_0.webp		Young	2020-07-17	3.0.1
主题	精选banner_我的朋友圈只对你开放_	多换图你的小朋友	400	1406	5.0	1	0	0	https://downloadt.vivo.com.cn/theme/package/v3/2020/04/20200406144935640/preview/preview_lockscreen_0_THUMB_3_0.webp		Desity	2020-04-06	3.0.1
主题	精选banner_我的朋友圈只对你开放_	么么哒爱你呦	300	39909	3.4	31	0	0	https://downloadt.vivo.com.cn/theme/package/v3/2018/08/20180801185254646/preview/preview_lockscreen_0_THUMB_3_0.webp		彩虹糖	2018-08-01	3.0.1
主题	精选banner_我的朋友圈只对你开放_	想进你的朋友圈	400	529	5.0	0	0	0	https://themetxdl.vivo.com.cn/theme/package/v3/2019/10/20191011190401090/preview/preview_lockscreen_0_THUMB_3_0.webp		香蕉团队	2019-10-11	3.0.1
